2026-08-16 14:13:01.783 -04:00 [INF] dev env
2026-08-16 14:13:10.502 -04:00 [INF] Starting role seeding...
2026-08-16 14:13:10.572 -04:00 [INF] Role Admin already exists
2026-08-16 14:13:10.583 -04:00 [INF] Role Moderator already exists
2026-08-16 14:13:10.586 -04:00 [INF] Role seeding completed.
2026-08-16 14:13:10.591 -04:00 [INF] Checking for admin user: admin@frenzyzone.com
2026-08-16 14:13:11.102 -04:00 [INF] Admin user already exists: admin@frenzyzone.com
2026-08-16 14:13:11.251 -04:00 [INF] Test users already exist. Skipping test user seeding.
2026-08-16 14:13:58.419 -04:00 [INF] HTTP GET /Admin/Role responded 200 in 99.6026 ms
2026-08-16 14:13:58.463 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 29.2142 ms
2026-08-16 14:14:00.461 -04:00 [INF] HTTP GET /Admin/Role/Edit/70d0b364-c0c4-4fae-b5c5-a999b2d9ac18 responded 200 in 55.9055 ms
2026-08-16 14:14:00.461 -04:00 [INF] HTTP GET /Admin/Role/Edit/70d0b364-c0c4-4fae-b5c5-a999b2d9ac18 responded 200 in 91.6325 ms
2026-08-16 14:14:00.507 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 28.1701 ms
2026-08-16 14:14:13.067 -04:00 [INF] HTTP GET /Admin responded 200 in 54.4246 ms
2026-08-16 14:14:13.125 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 36.3788 ms
2026-08-16 14:14:30.482 -04:00 [INF] HTTP GET /Messages responded 200 in 672.2205 ms
2026-08-16 14:14:30.482 -04:00 [INF] HTTP GET /Messages responded 200 in 703.3064 ms
2026-08-16 14:14:30.502 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 3.5918 ms
2026-08-16 14:14:30.504 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 2.7142 ms
2026-08-16 14:14:30.534 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 200 in 6.2780 ms
2026-08-16 14:14:30.540 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 42.1744 ms
2026-08-16 14:14:33.622 -04:00 [INF] HTTP GET /Notifications responded 200 in 303.2215 ms
2026-08-16 14:14:33.632 -04:00 [INF] HTTP GET /notificationhub responded 101 in 3072.2204 ms
2026-08-16 14:14:33.642 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 3.7584 ms
2026-08-16 14:14:33.642 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 3.7761 ms
2026-08-16 14:14:33.670 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 32.9479 ms
2026-08-16 14:14:33.672 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 200 in 4.4572 ms
2026-08-16 14:14:37.435 -04:00 [INF] HTTP GET /Notifications/Settings responded 200 in 304.8180 ms
2026-08-16 14:14:37.446 -04:00 [INF] HTTP GET /notificationhub responded 101 in 3758.8318 ms
2026-08-16 14:14:37.458 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 3.6925 ms
2026-08-16 14:14:37.459 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 4.5266 ms
2026-08-16 14:14:37.482 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 28.1229 ms
2026-08-16 14:14:37.508 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 200 in 5.0611 ms
2026-08-16 14:14:43.534 -04:00 [INF] HTTP GET /images/ads/content-bottom/fattvset-v2-970x250.png responded 304 in 0.5577 ms
2026-08-16 14:14:43.654 -04:00 [INF] HTTP POST /ads/impression/6 responded 200 in 127.6603 ms
2026-08-16 14:14:44.712 -04:00 [INF] HTTP GET /Video responded 200 in 363.4423 ms
2026-08-16 14:14:44.723 -04:00 [INF] HTTP GET /notificationhub responded 101 in 7196.7822 ms
2026-08-16 14:14:44.733 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 3.3186 ms
2026-08-16 14:14:44.733 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 4.0420 ms
2026-08-16 14:14:44.759 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 29.6985 ms
2026-08-16 14:14:44.792 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 200 in 4.9215 ms
2026-08-16 14:14:49.308 -04:00 [INF] HTTP GET /Video/Room/3 responded 200 in 260.2930 ms
2026-08-16 14:14:49.310 -04:00 [INF] HTTP GET /Video/Room/3 responded 200 in 297.0532 ms
2026-08-16 14:14:49.319 -04:00 [INF] HTTP GET /notificationhub responded 101 in 4510.3717 ms
2026-08-16 14:14:49.329 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 3.4000 ms
2026-08-16 14:14:49.344 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 6.6632 ms
2026-08-16 14:14:49.389 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 64.0980 ms
2026-08-16 14:14:49.390 -04:00 [INF] HTTP GET /_content/MvcApp.Module.Video/css/video.css responded 200 in 64.6667 ms
2026-08-16 14:14:49.390 -04:00 [INF] HTTP GET /_content/MvcApp.Module.Video/js/video-room.js responded 200 in 52.9698 ms
2026-08-16 14:14:49.410 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 200 in 4.6765 ms
2026-08-16 14:14:49.452 -04:00 [INF] HTTP POST /videohub/negotiate responded 200 in 5.1996 ms
2026-08-16 14:14:55.491 -04:00 [INF] HTTP POST /ads/impression/6 responded 200 in 39.3491 ms
2026-08-16 14:15:01.471 -04:00 [INF] HTTP GET /images/ads/content-bottom/xxxciety-970x250.png responded 304 in 0.5588 ms
2026-08-16 14:15:01.478 -04:00 [INF] HTTP POST /ads/impression/10 responded 200 in 26.0651 ms
2026-08-16 14:15:07.481 -04:00 [INF] HTTP POST /ads/impression/2 responded 200 in 21.2062 ms
2026-08-16 14:15:07.897 -04:00 [INF] HTTP GET /videohub responded 101 in 18411.3287 ms
2026-08-16 14:15:07.942 -04:00 [INF] HTTP GET /notificationhub responded 101 in 18478.7122 ms
